"id","name","nation","pos","club","rating","rarity"
"1122","Vitinha","Portugal","MF","Paris Saint-Germain","93","legend"
"1127","Rafael Leão","Portugal","FW","Milan","86","legend"
"1173","Luka Modrić","Croatia","MF","Milan","86","legend"
"184","Gregor Kobel","Switzerland","GK","Borussia Dortmund","85","epic"
"217","Bruno Guimarães","Brazil","MF","Newcastle United","85","epic"
"479","Manuel Neuer","Germany","GK","Bayern Munich","85","epic"
"572","Ryan Gravenberch","Netherlands","MF","Liverpool","85","epic"
"579","Cody Gakpo","Netherlands","FW","Liverpool","85","epic"
"793","Álex Grimaldo","Spain","DF","Bayer Leverkusen","85","epic"
"800","Dani Olmo","Spain","FW","Barcelona","85","epic"
"824","Ronald Araújo","Uruguay","DF","Barcelona","85","epic"
"853","Michael Olise","France","FW","Bayern Munich","94","epic"
"987","Cristian Romero","Argentina","DF","Tottenham Hotspur","85","epic"
"1113","Nuno Mendes","Portugal","DF","Paris Saint-Germain","92","epic"
"1125","Cristiano Ronaldo","Portugal","FW","Al-Nassr","85","epic"
"1174","Mateo Kovačić","Croatia","MF","Manchester City","85","epic"
"1192","John Stones","England","DF","Manchester City","85","epic"
"140","Jonathan David","Canada","FW","Juventus","84","epic"
"231","Gabriel Martinelli","Brazil","FW","Arsenal","84","epic"
"291","Andy Robertson","Scotland","DF","Liverpool","84","epic"
"455","Piero Hincapié","Ecuador","DF","Arsenal","84","epic"
"485","Kai Havertz","Germany","FW","Arsenal","84","epic"
"568","Frenkie de Jong","Netherlands","MF","Barcelona","84","epic"
"653","Romelu Lukaku","Belgium","FW","Napoli","84","epic"
"683","Omar Marmoush","Egypt","FW","Manchester City","84","epic"
"796","Mikel Merino","Spain","MF","Arsenal","84","epic"
"798","Fabián Ruiz","Spain","MF","Paris Saint-Germain","84","epic"
"799","Gavi","Spain","MF","Barcelona","84","epic"
"820","José María Giménez","Uruguay","DF","Atlético Madrid","84","epic"
"846","Dayot Upamecano","France","DF","Bayern Munich","84","epic"
"861","Théo Hernandez","France","DF","Al-Hilal","84","epic"
"955","Rayan Aït-Nouri","Algeria","DF","Manchester City","84","epic"
"980","Lisandro Martínez","Argentina","DF","Manchester United","84","epic"
"1008","David Alaba","Austria","DF","Real Madrid","84","epic"
"1107","Diogo Costa","Portugal","GK","Porto","84","epic"
"1111","João Cancelo","Portugal","DF","Barcelona","84","epic"
"1123","João Neves","Portugal","MF","Paris Saint-Germain","84","epic"
"1189","Jordan Pickford","England","GK","Everton","84","epic"
"95","Lee Kang-in","South Korea","MF","Paris Saint-Germain","83","epic"
"218","Matheus Cunha","Brazil","FW","Manchester United","83","epic"
"262","Yassine Bounou","Morocco","GK","Al-Hilal","83","epic"
"458","Willian Pacho","Ecuador","DF","Paris Saint-Germain","83","epic"
"482","Jonathan Tah","Germany","DF","Bayern Munich","83","epic"
"563","Jurriën Timber","Netherlands","DF","Arsenal","83","epic"
"564","Micky van de Ven","Netherlands","DF","Tottenham Hotspur","83","epic"
"802","Pedro Porro","Spain","DF","Tottenham Hotspur","83","epic"
"804","Aymeric Laporte","Spain","DF","Athletic Bilbao","83","epic"
"805","Álex Baena","Spain","MF","Atlético Madrid","83","epic"
"812","Pau Cubarsí","Spain","DF","Barcelona","83","epic"
"813","Unai Simón","Spain","GK","Athletic Bilbao","83","epic"
"840","Darwin Núñez","Uruguay","FW","Al-Hilal","83","epic"
"998","Enzo Fernández","Argentina","MF","Chelsea","83","epic"
"1121","Rúben Neves","Portugal","MF","Al-Hilal","83","epic"
"1193","Marc Guéhi","England","DF","Manchester City","83","epic"
"1212","Eberechi Eze","England","FW","Arsenal","83","epic"
"36","Edson Álvarez","Mexico","MF","Fenerbahçe","82","epic"
"48","Santiago Giménez","Mexico","FW","Milan","82","epic"
"102","Son Heung-min","South Korea","FW","Los Angeles FC","82","epic"
"193","Granit Xhaka","Switzerland","MF","Sunderland","82","epic"
"223","Bremer","Brazil","DF","Juventus","82","epic"
"267","Noussair Mazraoui","Morocco","DF","Manchester United","82","epic"
"284","Brahim Díaz","Morocco","FW","Real Madrid","82","epic"
"302","Scott McTominay","Scotland","MF","Napoli","90","epic"
"393","Arda Güler","Turkey","FW","Real Madrid","82","epic"
"526","Amad Diallo","Ivory Coast","FW","Manchester United","82","epic"
"557","Bart Verbruggen","Netherlands","GK","Brighton & Hove Albion","82","epic"
"561","Denzel Dumfries","Netherlands","DF","Inter Milan","82","epic"
"562","Nathan Aké","Netherlands","DF","Manchester City","82","epic"
"571","Teun Koopmeiners","Netherlands","MF","Juventus","82","epic"
"649","Youri Tielemans","Belgium","MF","Aston Villa","82","epic"
"654","Leandro Trossard","Belgium","FW","Arsenal","82","epic"
"657","Charles De Ketelaere","Belgium","FW","Atalanta","82","epic"
"795","Marcos Llorente","Spain","DF","Atlético Madrid","82","epic"
"814","Marc Cucurella","Spain","DF","Chelsea","82","epic"
"854","Bradley Barcola","France","FW","Paris Saint-Germain","88","epic"
"863","Lucas Hernandez","France","DF","Paris Saint-Germain","82","epic"
"866","Rayan Cherki","France","FW","Manchester City","91","epic"
"944","Nicolas Jackson","Senegal","FW","Bayern Munich","82","epic"
"981","Rodrigo De Paul","Argentina","MF","Inter Miami CF","82","epic"
"988","Exequiel Palacios","Argentina","MF","Bayer Leverkusen","82","epic"
"1114","Diogo Dalot","Portugal","DF","Manchester United","82","epic"
"1115","Gonçalo Inácio","Portugal","DF","Sporting CP","82","epic"
"1163","Dominik Livaković","Croatia","GK","Dinamo Zagreb","82","epic"
"1210","Ollie Watkins","England","FW","Aston Villa","82","epic"
"1211","Anthony Gordon","England","FW","Newcastle United","82","epic"
"1213","Noni Madueke","England","FW","Arsenal","82","epic"
"189","Denis Zakaria","Switzerland","MF","Monaco","81","epic"
"232","Ederson","Brazil","GK","Fenerbahçe","81","epic"
"459","Pervis Estupiñán","Ecuador","DF","Milan","81","epic"
"493","Nico Schlotterbeck","Germany","DF","Borussia Dortmund","81","epic"
"514","Ousmane Diomande","Ivory Coast","DF","Sporting CP","81","epic"
"538","Takefusa Kubo","Japan","MF","Real Sociedad","81","epic"
"586","Isak Hien","Sweden","DF","Atalanta","81","epic"
"651","Amadou Onana","Belgium","MF","Aston Villa","81","epic"
"655","Jérémy Doku","Belgium","FW","Manchester City","87","epic"
"844","Malo Gusto","France","DF","Chelsea","81","epic"
"860","Warren Zaïre-Emery","France","MF","Paris Saint-Germain","85","epic"
"901","Alexander Sørloth","Norway","FW","Atlético Madrid","81","epic"
"975","Juan Musso","Argentina","GK","Atlético Madrid","81","epic"
"1009","Marcel Sabitzer","Austria","MF","Borussia Dortmund","81","epic"
"1058","Davinson Sánchez","Colombia","DF","Galatasaray","81","epic"
"1229","Thomas Partey","Ghana","MF","Villarreal","81","epic"
"1238","Iñaki Williams","Ghana","FW","Athletic Bilbao","81","epic"
"22","Patrik Schick","Czech Republic","FW","Bayer Leverkusen","80","epic"
"93","Hwang Hee-chan","South Korea","MF","Wolverhampton Wanderers","80","epic"
"301","John McGinn","Scotland","MF","Aston Villa","85","epic"
"375","Ferdi Kadıoğlu","Turkey","DF","Brighton & Hove Albion","80","epic"
"394","Kenan Yıldız","Turkey","FW","Juventus","80","epic"
"405","Antonee Robinson","United States","DF","Fulham","80","epic"
"486","Leon Goretzka","Germany","MF","Bayern Munich","80","epic"
"509","Odilon Kossounou","Ivory Coast","DF","Atalanta","80","epic"
"569","Marten de Roon","Netherlands","MF","Atalanta","80","epic"
"811","Mikel Oyarzabal","Spain","FW","Real Sociedad","80","epic"
"822","Mathías Olivera","Uruguay","DF","Napoli","80","epic"
"828","Rodrigo Bentancur","Uruguay","MF","Tottenham Hotspur","80","epic"
"832","Manuel Ugarte","Uruguay","MF","Manchester United","80","epic"
"848","Manu Koné","France","MF","Roma","80","epic"
"862","Désiré Doué","France","FW","Paris Saint-Germain","92","epic"
"953","Ramy Bensebaini","Algeria","DF","Borussia Dortmund","80","epic"
"985","Giovani Lo Celso","Argentina","MF","Real Betis","80","epic"
"986","Gerónimo Rulli","Argentina","GK","Marseille","80","epic"
"1000","Nahuel Molina","Argentina","DF","Atlético Madrid","80","epic"
"1020","Konrad Laimer","Austria","MF","Bayern Munich","80","epic"
"1070","Richard Ríos","Colombia","MF","Benfica","80","epic"
"1104","Yoane Wissa","DR Congo","FW","Newcastle United","80","epic"
"1126","João Félix","Portugal","FW","Al-Nassr","80","epic"
"1129","Gonçalo Ramos","Portugal","FW","Paris Saint-Germain","80","epic"
"1130","Pedro Neto","Portugal","FW","Chelsea","80","epic"
"1132","Francisco Conceição","Portugal","FW","Juventus","80","epic"
"1169","Josip Stanišić","Croatia","DF","Bayern Munich","80","epic"
"1175","Mario Pašalić","Croatia","MF","Atalanta","80","epic"
"1177","Luka Sučić","Croatia","MF","Real Sociedad","80","epic"
"1184","Andrej Kramarić","Croatia","FW","TSG Hoffenheim","80","epic"
"1195","Ezri Konsa","England","DF","Aston Villa","80","epic"
"1237","Antoine Semenyo","Ghana","FW","Manchester City","86","epic"
"13","Tomáš Souček","Czech Republic","MF","West Ham United","79","epic"
"94","Hwang In-beom","South Korea","MF","Feyenoord","79","epic"
"108","Sead Kolašinac","Bosnia and Herzegovina","DF","Atalanta","79","epic"
"194","Dan Ndoye","Switzerland","FW","Nottingham Forest","79","epic"
"229","Lucas Paquetá","Brazil","MF","Flamengo","79","epic"
"266","Nayef Aguerd","Morocco","DF","Marseille","79","epic"
"366","Uğurcan Çakır","Turkey","GK","Galatasaray","79","epic"
"408","Weston McKennie","United States","MF","Juventus","79","epic"
"417","Malik Tillman","United States","MF","Bayer Leverkusen","79","epic"
"481","Waldemar Anton","Germany","DF","Borussia Dortmund","79","epic"
"497","Leroy Sané","Germany","MF","Galatasaray","79","epic"
"511","Evan Ndicka","Ivory Coast","DF","Roma","79","epic"
"536","Wataru Endo","Japan","MF","Liverpool","79","epic"
"551","Hiroki Itō","Japan","DF","Bayern Munich","79","epic"
"552","Takehiro Tomiyasu","Japan","DF","Ajax","79","epic"
"558","Mark Flekken","Netherlands","GK","Bayer Leverkusen","79","epic"
"578","Donyell Malen","Netherlands","FW","Roma","79","epic"
"794","Eric García","Spain","DF","Barcelona","79","epic"
"797","Ferran Torres","Spain","FW","Barcelona","79","epic"
"801","Yéremy Pino","Spain","FW","Crystal Palace","79","epic"
"830","Giorgian de Arrascaeta","Uruguay","MF","Flamengo","79","epic"
"845","Lucas Digne","France","DF","Aston Villa","79","epic"
"855","N'Golo Kanté","France","MF","Fenerbahçe","79","epic"
"920","Julian Ryerson","Norway","DF","Borussia Dortmund","79","epic"
"941","Sadio Mané","Senegal","FW","Al-Nassr","79","epic"
"976","Leonardo Balerdi","Argentina","DF","Marseille","79","epic"
"990","Thiago Almada","Argentina","FW","Atlético Madrid","79","epic"
"993","Nicolás Otamendi","Argentina","DF","Benfica","79","epic"
"1003","Kevin Danso","Austria","DF","Tottenham Hotspur","79","epic"
"1019","Christoph Baumgartner","Austria","MF","RB Leipzig","79","epic"
"1069","Jhon Arias","Colombia","MF","Palmeiras","79","epic"
"1116","Matheus Nunes","Portugal","DF","Manchester City","79","epic"
"1131","Francisco Trincão","Portugal","FW","Sporting CP","79","epic"
"1180","Petar Sučić","Croatia","MF","Inter Milan","79","epic"
"1197","Tino Livramento","England","DF","Newcastle United","79","epic"
"1205","Kobbie Mainoo","England","MF","Manchester United","79","epic"
"1208","Marcus Rashford","England","FW","Barcelona","84","epic"
"46","Raúl Jiménez","Mexico","FW","Fulham","78","epic"
"110","Amar Dedić","Bosnia and Herzegovina","DF","Benfica","78","epic"
"127","Ermedin Demirović","Bosnia and Herzegovina","FW","VfB Stuttgart","78","epic"
"187","Nico Elvedi","Switzerland","DF","Borussia Mönchengladbach","78","epic"
"191","Remo Freuler","Switzerland","MF","Bologna","78","epic"
"214","Casemiro","Brazil","MF","Manchester United","78","epic"
"224","Léo Pereira","Brazil","DF","Flamengo","78","epic"
"226","Fabinho","Brazil","MF","Al-Ittihad","78","epic"
"230","Luiz Henrique","Brazil","FW","Zenit Saint Petersburg","78","epic"
"274","Sofyan Amrabat","Morocco","MF","Real Betis","78","epic"
"277","Ismael Saibari","Morocco","MF","PSV Eindhoven","78","epic"
"280","Ayyoub Bouaddi","Morocco","MF","Lille","78","epic"
"343","Gustavo Gómez","Paraguay","DF","Palmeiras","78","epic"
"371","Merih Demiral","Turkey","DF","Al-Ahli","78","epic"
"404","Tyler Adams","United States","MF","Bournemouth","78","epic"
"483","Aleksandar Pavlović","Germany","MF","Bayern Munich","78","epic"
"494","Angelo Stiller","Germany","MF","VfB Stuttgart","78","epic"
"504","Deniz Undav","Germany","FW","VfB Stuttgart","83","epic"
"524","Simon Adingra","Ivory Coast","FW","Monaco","78","epic"
"545","Daichi Kamada","Japan","MF","Crystal Palace","78","epic"
"567","Jorrel Hato","Netherlands","DF","Chelsea","78","epic"
"573","Justin Kluivert","Netherlands","MF","Bournemouth","78","epic"
"580","Noa Lang","Netherlands","FW","Galatasaray","78","epic"
"582","Crysencio Summerville","Netherlands","FW","West Ham United","78","epic"
"593","Anthony Elanga","Sweden","FW","Newcastle United","78","epic"
"621","Ellyes Skhiri","Tunisia","MF","Eintracht Frankfurt","78","epic"
"640","Arthur Theate","Belgium","DF","Eintracht Frankfurt","78","epic"
"641","Zeno Debast","Belgium","DF","Sporting CP","78","epic"
"647","Axel Witsel","Belgium","MF","Girona","78","epic"
"656","Dodi Lukébakio","Belgium","FW","Benfica","78","epic"
"708","Mehdi Taremi","Iran","FW","Olympiacos","78","epic"
"721","Chris Wood","New Zealand","FW","Nottingham Forest","78","epic"
"843","Brice Samba","France","GK","Rennes","78","epic"
"856","Adrien Rabiot","France","MF","Milan","78","epic"
"867","Maghnes Akliouche","France","FW","Monaco","78","epic"
"897","Kristoffer Ajer","Norway","DF","Brentford","78","epic"
"905","Jørgen Strand Larsen","Norway","FW","Crystal Palace","78","epic"
"908","Fredrik Aursnes","Norway","MF","Benfica","78","epic"
"921","Édouard Mendy","Senegal","GK","Al-Ahli","78","epic"
"924","Kalidou Koulibaly","Senegal","DF","Al-Hilal","78","epic"
"936","Pape Matar Sarr","Senegal","MF","Tottenham Hotspur","78","epic"
"970","Amine Gouiri","Algeria","FW","Marseille","78","epic"
"977","Nicolás Tagliafico","Argentina","DF","Lyon","78","epic"
"989","Nicolás González","Argentina","FW","Atlético Madrid","78","epic"
"1004","Xaver Schlager","Austria","MF","RB Leipzig","78","epic"
"1006","Nicolas Seiwald","Austria","MF","RB Leipzig","78","epic"
"1024","Paul Wanner","Austria","MF","PSV Eindhoven","78","epic"
"1060","Yerry Mina","Colombia","DF","Cagliari","78","epic"
"1061","Daniel Muñoz","Colombia","DF","Crystal Palace","78","epic"
"1063","Jhon Lucumí","Colombia","DF","Bologna","78","epic"
"1079","Cucho Hernández","Colombia","FW","Real Betis","78","epic"
"1108","José Sá","Portugal","GK","Wolverhampton Wanderers","78","epic"
"1167","Duje Ćaleta-Car","Croatia","DF","Real Sociedad","78","epic"
"1185","Ante Budimir","Croatia","FW","Osasuna","78","epic"
"1190","Dean Henderson","England","GK","Crystal Palace","78","epic"
"1194","Reece James","England","DF","Chelsea","78","epic"
"1196","Dan Burn","England","DF","Newcastle United","78","epic"
"1204","Morgan Rogers","England","MF","Aston Villa","78","epic"
"23","Adam Hložek","Czech Republic","FW","TSG Hoffenheim","77","rare"
"45","Álvaro Fidalgo","Mexico","MF","Real Betis","77","rare"
"92","Lee Jae-sung","South Korea","MF","Mainz 05","77","rare"
"276","Bilal El Khannouss","Morocco","MF","VfB Stuttgart","77","rare"
"305","Lewis Ferguson","Scotland","MF","Bologna","77","rare"
"354","Ramón Sosa","Paraguay","MF","Palmeiras","77","rare"
"367","Mert Günok","Turkey","GK","Fenerbahçe","77","rare"
"390","Kerem Aktürkoğlu","Turkey","FW","Fenerbahçe","77","rare"
"392","Barış Alper Yılmaz","Turkey","FW","Galatasaray","77","rare"
"420","Folarin Balogun","United States","FW","Monaco","77","rare"
"421","Timothy Weah","United States","FW","Marseille","77","rare"
"454","Félix Torres","Ecuador","DF","Internacional","77","rare"
"499","Alexander Nübel","Germany","GK","VfB Stuttgart","77","rare"
"500","David Raum","Germany","DF","RB Leipzig","77","rare"
"518","Ibrahim Sangaré","Ivory Coast","MF","Nottingham Forest","77","rare"
"540","Ritsu Dōan","Japan","MF","Eintracht Frankfurt","77","rare"
"548","Ayase Ueda","Japan","FW","Feyenoord","77","rare"
"566","Jan Paul van Hecke","Netherlands","DF","Brighton & Hove Albion","77","rare"
"585","Victor Lindelöf","Sweden","DF","Aston Villa","77","rare"
"658","Alexis Saelemaekers","Belgium","FW","Milan","77","rare"
"833","Nicolás de la Cruz","Uruguay","MF","Flamengo","77","rare"
"864","Jean-Philippe Mateta","France","FW","Crystal Palace","77","rare"
"902","Sander Berge","Norway","MF","Fulham","77","rare"
"914","Antonio Nusa","Norway","MF","RB Leipzig","77","rare"
"937","Lamine Camara","Senegal","MF","Monaco","77","rare"
"969","Mohamed Amoura","Algeria","FW","VfL Wolfsburg","77","rare"
"979","Leandro Paredes","Argentina","MF","Boca Juniors","77","rare"
"999","Facundo Medina","Argentina","DF","Marseille","77","rare"
"1168","Josip Šutalo","Croatia","DF","Ajax","77","rare"
"1178","Martin Baturina","Croatia","MF","Como","77","rare"
"1231","Kamaldeen Sulemana","Ghana","MF","Atalanta","77","rare"
"33","Johan Vásquez","Mexico","DF","Genoa","76","rare"
"53","Ronwen Williams","South Africa","GK","Mamelodi Sundowns","76","rare"
"132","Alistair Johnston","Canada","DF","Celtic","90","rare"
"137","Stephen Eustáquio","Canada","MF","Los Angeles FC","76","rare"
"190","Breel Embolo","Switzerland","FW","Rennes","76","rare"
"197","Ardon Jashari","Switzerland","MF","Milan","76","rare"
"198","Djibril Sow","Switzerland","MF","Sevilla","76","rare"
"200","Rubén Vargas","Switzerland","FW","Sevilla","76","rare"
"221","Weverton","Brazil","GK","Grêmio","76","rare"
"222","Danilo Luiz","Brazil","DF","Flamengo","76","rare"
"233","Roger Ibañez","Brazil","DF","Al-Ahli","76","rare"
"281","Ayoub El Kaabi","Morocco","FW","Olympiacos","76","rare"
"293","Kieran Tierney","Scotland","DF","Celtic","88","rare"
"344","Júnior Alonso","Paraguay","DF","Atlético Mineiro","76","rare"
"372","Zeki Çelik","Turkey","DF","Roma","76","rare"
"373","Çağlar Söyüncü","Turkey","DF","Fenerbahçe","76","rare"
"377","Abdülkerim Bardakcı","Turkey","DF","Galatasaray","76","rare"
"385","Orkun Kökçü","Turkey","MF","Beşiktaş","76","rare"
"402","Sergiño Dest","United States","DF","PSV Eindhoven","76","rare"
"403","Chris Richards","United States","DF","Crystal Palace","76","rare"
"409","Ricardo Pepi","United States","FW","PSV Eindhoven","76","rare"
"411","Brenden Aaronson","United States","FW","Leeds United","76","rare"
"447","Tahith Chong","Curaçao","FW","Sheffield United","76","rare"
"456","Joel Ordóñez","Ecuador","DF","Club Brugge","76","rare"
"491","Pascal Groß","Germany","MF","Brighton & Hove Albion","76","rare"
"502","Malick Thiaw","Germany","DF","Newcastle United","76","rare"
"510","Wilfried Singo","Ivory Coast","DF","Galatasaray","76","rare"
"516","Franck Kessié","Ivory Coast","MF","Al-Ahli","76","rare"
"519","Seko Fofana","Ivory Coast","MF","Porto","76","rare"
"530","Ange-Yoan Bonny","Ivory Coast","FW","Inter Milan","76","rare"
"534","Kō Itakura","Japan","DF","Ajax","76","rare"
"537","Ao Tanaka","Japan","MF","Leeds United","76","rare"
"541","Daizen Maeda","Japan","FW","Celtic","94","rare"
"544","Junya Itō","Japan","MF","Genk","76","rare"
"565","Mats Wieffer","Netherlands","DF","Brighton & Hove Albion","76","rare"
"574","Quinten Timber","Netherlands","MF","Marseille","76","rare"
"581","Brian Brobbey","Netherlands","FW","Sunderland","76","rare"
"639","Timothy Castagne","Belgium","DF","Fulham","76","rare"
"642","Maxim De Cuyper","Belgium","DF","Brighton & Hove Albion","76","rare"
"650","Hans Vanaken","Belgium","MF","Club Brugge","76","rare"
"746","Logan Costa","Cape Verde","DF","Villarreal","76","rare"
"778","Salem Al-Dawsari","Saudi Arabia","MF","Al-Hilal","76","rare"
"818","Sergio Rochet","Uruguay","GK","Internacional","76","rare"
"825","Sebastián Cáceres","Uruguay","DF","América","76","rare"
"826","Joaquín Piquerez","Uruguay","DF","Palmeiras","76","rare"
"835","Maximiliano Araújo","Uruguay","MF","Sporting CP","76","rare"
"915","Andreas Schjelderup","Norway","MF","Benfica","76","rare"
"925","Krépin Diatta","Senegal","DF","Monaco","76","rare"
"926","Moussa Niakhaté","Senegal","DF","Lyon","76","rare"
"934","Idrissa Gueye","Senegal","MF","Everton","76","rare"
"968","Riyad Mahrez","Algeria","FW","Al-Ahli","76","rare"
"971","Anis Hadj Moussa","Algeria","FW","Feyenoord","76","rare"
"992","Nico Paz","Argentina","FW","Como","76","rare"
"1048","Musa Al-Taamari","Jordan","FW","Rennes","76","rare"
"1056","Camilo Vargas","Colombia","GK","Atlas","76","rare"
"1067","Jefferson Lerma","Colombia","MF","Crystal Palace","76","rare"
"1078","Luis Suárez","Colombia","FW","Sporting CP","76","rare"
"1090","Aaron Wan-Bissaka","DR Congo","DF","West Ham United","76","rare"
"1109","Rui Silva","Portugal","GK","Sporting CP","76","rare"
"1112","Nélson Semedo","Portugal","DF","Fenerbahçe","76","rare"
"1118","Tomás Araújo","Portugal","DF","Benfica","76","rare"
"1124","Samú Costa","Portugal","MF","Mallorca","76","rare"
"1141","Abdukodir Khusanov","Uzbekistan","DF","Manchester City","76","rare"
"1164","Dominik Kotarski","Croatia","GK","Copenhagen","76","rare"
"1170","Marin Pongračić","Croatia","DF","Fiorentina","76","rare"
"1176","Nikola Vlašić","Croatia","MF","Torino","76","rare"
"1","Matěj Kovář","Czech Republic","GK","PSV Eindhoven","75","rare"
"6","Ladislav Krejčí","Czech Republic","DF","Wolverhampton Wanderers","75","rare"
"44","Obed Vargas","Mexico","MF","Atlético Madrid","75","rare"
"177","Akram Afif","Qatar","FW","Al-Sadd","75","rare"
"196","Ricardo Rodriguez","Switzerland","DF","Real Betis","75","rare"
"271","Issa Diop","Morocco","DF","Fulham","75","rare"
"283","Abde Ezzalzouli","Morocco","FW","Real Betis","75","rare"
"310","Ché Adams","Scotland","FW","Torino","75","rare"
"345","Fabián Balbuena","Paraguay","DF","Grêmio","75","rare"
"351","Miguel Almirón","Paraguay","MF","Atlanta United FC","75","rare"
"374","Mert Müldür","Turkey","DF","Fenerbahçe","75","rare"
"387","Salih Özcan","Turkey","MF","Borussia Dortmund","75","rare"
"388","Atakan Karazor","Turkey","MF","VfB Stuttgart","75","rare"
"395","Yunus Akgün","Turkey","FW","Galatasaray","75","rare"
"471","Gonzalo Plata","Ecuador","MF","Flamengo","75","rare"
"473","Alan Franco","Ecuador","MF","Atlético Mineiro","75","rare"
"487","Jamie Leweling","Germany","MF","VfB Stuttgart","75","rare"
"501","Felix Nmecha","Germany","MF","Borussia Dortmund","75","rare"
"543","Keito Nakamura","Japan","MF","Reims","75","rare"
"589","Lucas Bergvall","Sweden","MF","Tottenham Hotspur","75","rare"
"669","Mohamed Abdelmonem","Egypt","DF","Nice","75","rare"
"868","Maxence Lacroix","France","DF","Crystal Palace","75","rare"
"895","Ørjan Nyland","Norway","GK","Sevilla","75","rare"
"898","Leo Østigård","Norway","DF","Genoa","75","rare"
"927","Ismail Jakobs","Senegal","DF","Galatasaray","75","rare"
"935","Pape Gueye","Senegal","MF","Villarreal","75","rare"
"952","Aïssa Mandi","Algeria","DF","Lille","75","rare"
"964","Farès Chaïbi","Algeria","MF","Eintracht Frankfurt","75","rare"
"978","Gonzalo Montiel","Argentina","DF","River Plate","75","rare"
"1005","Stefan Posch","Austria","DF","Mainz 05","75","rare"
"1015","Philipp Lienhart","Austria","DF","SC Freiburg","75","rare"
"1055","David Ospina","Colombia","GK","Atlético Nacional","75","rare"
"1062","Johan Mojica","Colombia","DF","Mallorca","75","rare"
"1077","Jhon Córdoba","Colombia","FW","Krasnodar","75","rare"
"1117","Renato Veiga","Portugal","DF","Villarreal","75","rare"
"1128","Gonçalo Guedes","Portugal","FW","Real Sociedad","75","rare"
"1179","Kristijan Jakić","Croatia","MF","FC Augsburg","75","rare"
